Model and Mult,Multiplier,Brand,process_size,transistors,frequency,tdp,memory_bandwidth,#_of_cores,year,time,launch_price,market
Intel Core i7-2600 x 1,1,Intel,32,1160.0,3.4,95,,4.0,2011,4,,Desktop
Intel Core i7-2700K x 1,1,Intel,32,1160.0,3.5,95,21.3,4.0,2011,4,332.0,Desktop
Intel Core i7-3517U x 1,1,Intel,22,,,17,,2.0,2012,5,,Mobile
Intel Core i7-3630QM x 1,1,Intel,22,1480.0,2.4,45,25.6,4.0,2012,5,378.0,Mobile
Intel Core i7-3632QM x 1,1,Intel,22,1480.0,2.2,35,,4.0,2012,5,,Mobile
Intel Core i7-3770 x 1,1,Intel,22,1400.0,3.4,77,25.6,4.0,2012,5,278.0,Desktop
Intel Core i7-3770K x 1,1,Intel,22,1400.0,3.5,77,25.6,4.0,2012,5,313.0,Desktop
Intel Core i7-4558U x 1,1,Intel,22,1300.0,2.8,28,,2.0,2013,6,,Mobile
Intel Core i7-4600U x 1,1,Intel,22,1300.0,2.1,15,,2.0,2013,6,,Mobile
Intel Core i7-4770K x 1,1,Intel,22,1400.0,3.5,84,25.6,4.0,2013,6,350.0,Desktop
Intel Core i7-4790 x 1,1,Intel,22,1400.0,3.6,84,25.6,4.0,2014,7,312.0,Desktop
Intel Core i7-4790K x 1,1,Intel,22,1400.0,4.0,88,25.6,4.0,2014,7,350.0,Desktop
Intel Core i7-4960X x 1,1,Intel,22,1860.0,3.6,130,,6.0,2013,6,,Desktop
Intel Core i7-5500U x 1,1,Intel,14,1300.0,2.4,15,25.6,2.0,2015,8,393.0,Mobile
Intel Core i7-5557U x 1,1,Intel,14,1900.0,3.1,28,29.9,2.0,2015,8,426.0,Mobile
Intel Core i7-5600U x 1,1,Intel,14,1300.0,2.6,15,25.6,2.0,2015,8,393.0,Mobile
Intel Core i7-5820K x 1,1,Intel,22,2600.0,3.3,140,68.3,6.0,2014,7,,Desktop
Intel Core i7-5960X x 1,1,Intel,22,2600.0,3.0,140,68.3,8.0,2014,7,,Desktop
Intel Core i7-6500U x 1,1,Intel,22,1300.0,,15,,2.0,2013,6,,Mobile
Intel Core i7-6700 x 1,1,Intel,14,,3.4,65,34.1,4.0,2015,8,303.0,Desktop
Intel Core i7-6700HQ x 1,1,Intel,22,1400.0,2.4,47,25.6,4.0,2013,6,,Mobile
Intel Core i7-6700K x 1,1,Intel,14,,4.0,91,34.1,4.0,2015,8,339.0,Desktop
Intel Core i7-6800K x 1,1,Intel,14,3400.0,3.4,140,76.8,6.0,2016,9,434.0,Desktop
Intel Core i7-7700 x 1,1,Intel,14,,3.6,65,38.4,4.0,2017,10,,Desktop
Intel Core i7-7700K x 1,1,Intel,14,,4.2,91,38.4,4.0,2017,10,,Desktop
Intel Core i7-7740K x 1,1,Intel,14,,4.3,112,,4.0,2017,10,,Desktop
Intel Core i7-7900X x 1,1,Intel,14,,3.5,140,76.8,6.0,2017,10,383.0,Desktop
Intel Core i7-8086K x 1,1,Intel,14,,4.0,95,42.7,6.0,2018,11,425.0,Desktop
Intel Core i7-8550U x 1,1,Intel,14,,,15,,4.0,2017,10,,Mobile
Intel Core i7-8559U x 1,1,Intel,14,,2.7,28,,4.0,2018,11,,Mobile
Intel Core i7-8565U x 1,1,Intel,14,,,15,38.4,4.0,2018,11,409.0,Mobile
Intel Core i7-8700 x 1,1,Intel,14,,3.2,65,42.7,6.0,2017,10,303.0,Desktop
Intel Core i7-8700B x 1,1,Intel,14,,3.2,65,42.7,6.0,2018,11,303.0,Desktop
Intel Core i7-8700K x 1,1,Intel,14,,3.7,95,42.7,6.0,2017,10,359.0,Desktop
Intel Core i7-8809G x 1,1,Intel,14,,3.1,65,,4.0,2018,11,,Mobile
Intel Core i7-9700TE x 1,1,Intel,14,,,35,42.7,8.0,2019,12,323.0,Desktop
Intel Core i7-9750H x 1,1,Intel,14,,2.6,45,42.7,6.0,2019,12,,Mobile
Intel Core i7-9850H x 1,1,Intel,14,,2.6,45,42.7,6.0,2019,12,,Mobile
Intel Core i9-10850K x 1,1,Intel,14,,3.6,125,46.9,10.0,2020,13,,Desktop
Intel Core i9-10885H x 1,1,Intel,14,,2.4,45,46.9,8.0,2020,13,556.0,Mobile
Intel Core i9-10900K x 1,1,Intel,14,,3.7,125,46.9,10.0,2020,13,547.0,Desktop
Intel Core i9-10900KF x 1,1,Intel,14,,3.7,125,46.9,10.0,2020,13,509.0,Desktop
Intel Core i9-10980XE x 1,1,Intel,14,,3.0,165,93.9,18.0,2019,12,1076.0,Desktop
Intel Core i9-11900K x 1,1,Intel,14,,3.5,125,51.2,8.0,2021,14,539.0,Desktop
Intel Core i9-11980HK x 1,1,Intel,10,,2.6,45,51.2,8.0,2021,14,583.0,Mobile
Intel Core i9-12900H x 1,1,Intel,10,,2.5,45,,14.0,2022,15,,Mobile
Intel Core i9-12900K x 1,1,Intel,10,,3.2,125,,16.0,2021,14,599.0,Desktop
Intel Core i9-13900K x 1,1,Intel,10,,3.0,125,,24.0,2022,15,589.0,Desktop
Intel Core i9-14900K x 1,1,Intel,10,,3.2,125,,24.0,2023,16,589.0,Desktop
Intel Core i9-7960X x 1,1,Intel,14,,2.8,165,85.3,16.0,2017,10,1699.0,Desktop
Intel Core i9-7980XE x 1,1,Intel,14,,2.6,165,85.3,18.0,2017,10,1999.0,Desktop
Intel Core i9-9900 x 1,1,Intel,14,,3.1,65,42.7,8.0,2019,12,423.0,Desktop
Intel Core i9-9900K x 1,1,Intel,14,,3.6,95,42.7,8.0,2018,11,488.0,Desktop
Intel Core i9-9900KS x 1,1,Intel,14,,4.0,127,42.7,8.0,2019,12,513.0,Desktop
Intel Core m3-6Y30 x 1,1,Intel,14,,,5,29.9,2.0,2015,8,281.0,Mobile
Intel Core m3-7Y30 x 1,1,Intel,14,,,5,29.9,2.0,2015,8,281.0,Mobile
Intel N150 x 1,1,Intel,10,,,6,38.4,4.0,2024,17,,Mobile
Intel Pentium G4400 x 1,1,Intel,14,1400.0,3.3,51,34.1,2.0,2015,8,,Desktop
Intel Pentium Gold G6400 x 1,1,Intel,14,,4.0,58,42.7,2.0,2020,13,,Desktop
Intel Xeon 6369P x 1,1,Intel,10,,3.3,95,,8.0,2025,18,606.0,Server/Workstation
Intel Xeon 6728P x 4,4,Intel,5,,2.7,210,409.6,24.0,2025,18,2478.0,Server/Workstation
Intel Xeon 6766E x 1,1,Intel,5,,,250,409.6,144.0,2024,17,10257.0,Server/Workstation
Intel Xeon 6766E x 2,2,Intel,5,,,250,409.6,144.0,2024,17,10257.0,Server/Workstation
Intel Xeon 6780E x 1,1,Intel,5,,2.2,330,409.6,144.0,2024,17,11350.0,Server/Workstation
Intel Xeon 6980P x 1,1,Intel,5,,,500,614.4,128.0,2024,17,12460.0,Server/Workstation
Intel Xeon 6980P x 2,2,Intel,5,,,500,614.4,128.0,2024,17,12460.0,Server/Workstation
Intel Xeon E E-2488 x 1,1,Intel,10,,3.2,95,76.8,8.0,2023,16,606.0,Server/Workstation
Intel Xeon E-2278G x 1,1,Intel,14,,3.4,95,42.7,8.0,2019,12,494.0,Server/Workstation
Intel Xeon E-2278GEL x 1,1,Intel,14,,,35,42.7,8.0,2019,12,519.0,Server/Workstation
Intel Xeon E-2288G x 1,1,Intel,14,,3.7,95,42.7,8.0,2019,12,539.0,Server/Workstation
Intel Xeon E-2336 x 1,1,Intel,14,,2.9,65,51.2,6.0,2021,14,284.0,Server/Workstation
Intel Xeon E-2388G x 1,1,Intel,14,,3.2,95,51.2,8.0,2021,14,539.0,Server/Workstation
Intel Xeon E3-1231 v3 x 1,1,Intel,22,1400.0,3.4,80,25.6,4.0,2014,7,250.0,Server/Workstation
Intel Xeon E3-1235L v5 x 1,1,Intel,14,1750.0,,25,34.1,4.0,2015,8,250.0,Server/Workstation
Intel Xeon E3-1240 v5 x 1,1,Intel,14,1750.0,3.5,80,34.1,4.0,2015,8,282.0,Server/Workstation
Intel Xeon E3-1245 v5 x 1,1,Intel,14,1750.0,3.5,80,34.1,4.0,2015,8,294.0,Server/Workstation
Intel Xeon E3-1260L v5 x 1,1,Intel,14,1750.0,2.9,45,34.1,4.0,2015,8,294.0,Server/Workstation
Intel Xeon E3-1270 v5 x 1,1,Intel,14,1750.0,3.6,80,34.1,4.0,2015,8,339.0,Server/Workstation
Intel Xeon E3-1275 v6 x 1,1,Intel,14,1400.0,4.1,79,,4.0,2017,10,,Server/Workstation
Intel Xeon E3-1280 v5 x 1,1,Intel,14,1750.0,3.7,80,,4.0,2015,8,612.0,Server/Workstation
Intel Xeon E3-12xx v2 x 1,1,Intel,32,1160.0,,25,,4.0,2012,5,,Server/Workstation
Intel Xeon E5-1680 v3 x 1,1,Intel,22,2600.0,3.2,140,68.3,8.0,2014,7,,Server/Workstation
Intel Xeon E5-2609 v4 x 1,1,Intel,32,1270.0,2.4,80,,4.0,2012,5,,Server/Workstation
Intel Xeon E5-2620 v2 x 2,2,Intel,22,1400.0,2.1,80,,6.0,2013,6,,Server/Workstation
Intel Xeon E5-2643 v3 x 2,2,Intel,22,2600.0,3.4,135,68.3,6.0,2014,7,1552.0,Server/Workstation
Intel Xeon E5-2650 0 x 2,2,Intel,32,2270.0,,95,,8.0,2012,5,,Server/Workstation
Intel Xeon E5-2670 0 x 2,2,Intel,32,2270.0,2.6,115,,8.0,2012,5,,Server/Workstation
Intel Xeon E5-2678 v3 x 2,2,Intel,22,2600.0,2.5,120,68.3,12.0,2015,8,,Server/Workstation
Intel Xeon E5-2680 v2 x 2,2,Intel,22,1400.0,2.8,115,,10.0,2013,6,,Server/Workstation
Intel Xeon E5-2683 v4 x 2,2,Intel,22,2600.0,,120,68.3,14.0,2014,7,1846.0,Server/Workstation
Intel Xeon E5-2687W 0 x 2,2,Intel,32,2270.0,3.1,150,,8.0,2012,5,,Server/Workstation
Intel Xeon E5-2687W v3 x 1,1,Intel,22,2600.0,3.1,160,68.3,10.0,2014,7,2141.0,Server/Workstation
Intel Xeon E5-2690 v4 x 2,2,Intel,14,3400.0,2.2,105,68.3,12.0,2016,9,1166.0,Server/Workstation
Intel Xeon E5-2696 v4 x 2,2,Intel,22,5690.0,2.3,145,68.3,18.0,2014,7,,Server/Workstation
Intel Xeon E5-2699 v4 x 2,2,Intel,14,7200.0,2.4,145,76.8,22.0,2016,9,4938.0,Desktop
Intel Xeon E5-4620 v4 x 4,4,Intel,14,3400.0,3.5,140,76.8,4.0,2016,9,294.0,Desktop
Intel Xeon Gold 5215 x 1,1,Intel,10,,2.9,150,281.6,8.0,2023,16,1076.0,Server/Workstation
Intel Xeon Gold 5217 x 1,1,Intel,10,,3.0,150,187.7,12.0,2021,14,,Server/Workstation
Intel Xeon Gold 5218 x 1,1,Intel,14,,2.5,150,128.0,18.0,2021,14,,Server/Workstation
Intel Xeon Gold 5218 x 2,2,Intel,14,,2.5,150,128.0,18.0,2021,14,,Server/Workstation
Intel Xeon Gold 5220R x 1,1,Intel,10,,2.2,185,191.6,26.0,2021,14,,Server/Workstation
Intel Xeon Gold 5220R x 2,2,Intel,10,,2.2,185,191.6,26.0,2021,14,,Server/Workstation
Intel Xeon Gold 5412U x 1,1,Intel,10,,2.1,185,281.6,24.0,2023,16,1113.0,Server/Workstation
Intel Xeon Gold 5416S x 1,1,Intel,10,,,150,281.6,16.0,2023,16,944.0,Server/Workstation
Intel Xeon Gold 6130 x 2,2,Intel,10,,,205,204.8,28.0,2021,14,,Server/Workstation
Intel Xeon Gold 6138 x 2,2,Intel,10,,2.2,185,170.7,32.0,2021,14,,Server/Workstation
Intel Xeon Gold 6140 x 2,2,Intel,14,8000.0,3.0,200,,18.0,2017,10,,Server/Workstation
Intel Xeon Gold 6142 x 2,2,Intel,10,,2.8,230,204.8,24.0,2021,14,,Server/Workstation
Intel Xeon Gold 6144 x 2,2,Intel,14,8000.0,3.0,200,,18.0,2017,10,,Server/Workstation
Intel Xeon Gold 6226R x 1,1,Intel,10,,2.9,185,204.8,16.0,2021,14,,Server/Workstation
Intel Xeon Gold 6226R x 2,2,Intel,10,,2.9,185,204.8,16.0,2021,14,,Server/Workstation
Intel Xeon Gold 6248R x 2,2,Intel,10,,2.6,235,204.8,28.0,2021,14,,Server/Workstation
Intel Xeon Gold 6254 x 2,2,Intel,14,8000.0,3.0,200,,18.0,2017,10,,Server/Workstation
Intel Xeon Gold 6254 x 4,4,Intel,14,8000.0,3.0,200,,18.0,2017,10,,Server/Workstation
Intel Xeon Gold 6258R x 1,1,Intel,10,,2.9,185,204.8,16.0,2021,14,,Server/Workstation
Intel Xeon Gold 6338 x 1,1,Intel,10,,2.2,185,170.7,32.0,2021,14,,Server/Workstation
Intel Xeon Gold 6338 x 2,2,Intel,10,,2.2,185,170.7,32.0,2021,14,,Server/Workstation
Intel Xeon Gold 6342 x 1,1,Intel,10,,2.8,230,204.8,24.0,2021,14,,Server/Workstation
Intel Xeon Gold 6342 x 2,2,Intel,10,,2.8,230,204.8,24.0,2021,14,,Server/Workstation
Intel Xeon Gold 6346 x 1,1,Intel,10,,3.1,205,204.8,16.0,2021,14,,Server/Workstation
Intel Xeon Gold 6346 x 2,2,Intel,10,,3.1,205,204.8,16.0,2021,14,,Server/Workstation
Intel Xeon Gold 6414U x 1,1,Intel,10,,,250,307.2,32.0,2023,16,2296.0,Server/Workstation
Intel Xeon Gold 6442Y x 1,1,Intel,10,,2.6,225,307.2,24.0,2023,16,2065.0,Server/Workstation
Intel Xeon Gold 6442Y x 2,2,Intel,10,,2.6,225,307.2,24.0,2023,16,2065.0,Server/Workstation
Intel Xeon Gold 6444Y x 2,2,Intel,10,,3.6,270,307.2,16.0,2023,16,1517.0,Server/Workstation
Intel Xeon L5640 x 2,2,Intel,32,1170.0,2.266,60,,6.0,2010,3,,Server/Workstation
Intel Xeon Max 9468 x 1,1,Intel,10,,2.1,350,307.2,48.0,2023,16,9900.0,Server/Workstation
Intel Xeon Max 9468 x 2,2,Intel,10,,2.1,350,307.2,48.0,2023,16,9900.0,Server/Workstation
Intel Xeon Max 9480 x 1,1,Intel,10,,,350,307.2,56.0,2023,16,12980.0,Server/Workstation
Intel Xeon Max 9480 x 2,2,Intel,10,,,350,307.2,56.0,2023,16,12980.0,Server/Workstation
Intel Xeon Platinum 8253 x 1,1,Intel,14,8000.0,2.2,125,,16.0,2018,11,,Server/Workstation
Intel Xeon Platinum 8259L x 2,2,Intel,10,,,350,307.2,56.0,2023,16,,Server/Workstation
Intel Xeon Platinum 8260 x 2,2,Intel,14,8000.0,2.4,165,,24.0,2018,11,,Server/Workstation
Intel Xeon Platinum 8272CL x 2,2,Intel,10,,,350,307.2,56.0,2023,16,,Server/Workstation
Intel Xeon Platinum 8280 x 1,1,Intel,14,8000.0,2.7,205,,28.0,2018,11,,Server/Workstation
Intel Xeon Platinum 8280 x 2,2,Intel,14,8000.0,2.7,205,,28.0,2018,11,,Server/Workstation
Intel Xeon Platinum 8362 x 1,1,Intel,10,,2.8,265,204.8,32.0,2021,14,,Server/Workstation
Intel Xeon Platinum 8362 x 2,2,Intel,10,,2.8,265,204.8,32.0,2021,14,,Server/Workstation
Intel Xeon Platinum 8380 x 1,1,Intel,10,,2.3,270,204.8,40.0,2021,14,,Server/Workstation
Intel Xeon Platinum 8380 x 2,2,Intel,10,,2.3,270,204.8,40.0,2021,14,,Server/Workstation
Intel Xeon Platinum 8462Y+ x 1,1,Intel,10,,2.8,300,307.2,32.0,2023,16,5945.0,Server/Workstation
Intel Xeon Platinum 8462Y+ x 2,2,Intel,10,,2.8,300,307.2,32.0,2023,16,5945.0,Server/Workstation
Intel Xeon Platinum 8468 x 1,1,Intel,10,,2.1,350,307.2,48.0,2023,16,7214.0,Server/Workstation
Intel Xeon Platinum 8468 x 2,2,Intel,10,,2.1,350,307.2,48.0,2023,16,7214.0,Server/Workstation
Intel Xeon Platinum 8471N x 1,1,Intel,10,,,300,307.2,52.0,2023,16,5171.0,Server/Workstation
Intel Xeon Platinum 8480+ x 1,1,Intel,10,,,350,307.2,56.0,2023,16,10710.0,Server/Workstation
Intel Xeon Platinum 8490H x 1,1,Intel,10,,,350,307.2,60.0,2023,16,17000.0,Server/Workstation
Intel Xeon Platinum 8490H x 2,2,Intel,10,,,350,307.2,60.0,2023,16,17000.0,Server/Workstation
Intel Xeon Platinum x 2,2,Intel,10,,,350,307.2,56.0,2023,16,,Server/Workstation
Intel Xeon Silver 4108 x 1,1,Intel,10,,2.1,120,170.7,12.0,2021,14,,Server/Workstation
Intel Xeon Silver 4210 x 2,2,Intel,10,,2.1,120,170.7,12.0,2021,14,,Server/Workstation
Intel Xeon Silver 4214 x 2,2,Intel,10,,2.4,135,170.7,16.0,2021,14,,Server/Workstation
Intel Xeon Silver 4214R x 1,1,Intel,10,,2.4,135,170.7,16.0,2021,14,,Server/Workstation
Intel Xeon Silver 4215R x 1,1,Intel,14,8000.0,2.1,85,,12.0,2017,10,,Server/Workstation
Intel Xeon Silver 4216 x 1,1,Intel,14,8000.0,2.1,85,,12.0,2017,10,,Server/Workstation
Intel Xeon W-1370P x 1,1,Intel,14,,3.6,125,51.2,8.0,2021,14,428.0,Server/Workstation
Intel Xeon W-2123 x 1,1,Intel,14,,3.6,120,85.3,4.0,2017,10,294.0,Server/Workstation
Intel Xeon W-2295 x 1,1,Intel,14,,2.3,140,85.3,18.0,2017,10,2553.0,Server/Workstation
Intel Xeon X5675 x 2,2,Intel,32,1170.0,3.066,95,,6.0,2011,4,,Server/Workstation
