Model and Mult,Multiplier,Brand,process_size,transistors,frequency,tdp,memory_bandwidth,#_of_cores,year,time,launch_price,market,Generalized Performance,Performance,FinanceBench,amg,numpy,hpcg,stockfish,nqueens,linux_kernel,pybench
AMD A10-7850K APU x 1,1,AMD,28,2411.0,3.7,95,34.1,4.0,2014,7,173.0,Desktop,-8.34180309036602,-2.1455557354293995,,,-1.9081278774028085,,,,,-1.1676839592567916
AMD A10-7870K Radeon R7 12 Compute Cores 4C+8G x 1,1,AMD,28,2411.0,3.9,95,34.1,4.0,2015,8,137.0,Desktop,-8.940791520457907,-2.2711615908495117,,,-1.8560715154467546,,,,,
AMD A6-3410MX APU x 1,1,AMD,32,1178.0,,45,25.6,4.0,2011,4,295.0,Mobile,-16.637069158406806,-3.88504507790945,,,,,,,,-2.172694481090179
AMD Athlon 3000G x 1,1,AMD,14,4950.0,3.5,35,42.7,2.0,2019,12,49.0,Desktop,-3.9136307699940622,-1.2169829211554086,,,-1.2499357118764394,,,,,-0.9373441410719874
AMD EPYC 4124P x 1,1,AMD,5,6570.0,3.8,65,83.2,4.0,2024,17,149.0,Server/Workstation,2.424266181170657,0.11205271312795306,-0.38769609566368146,,-0.23224486556055535,,-0.8037861369764485,,,0.02331944234514438
AMD EPYC 4244P x 1,1,AMD,5,6570.0,3.8,65,83.2,6.0,2024,17,229.0,Server/Workstation,2.8172379297752697,0.19445756464044017,,,-0.13175332701423237,,-0.35648228661866455,,,
AMD EPYC 4245P x 1,1,AMD,4,8315.0,3.9,65,89.6,6.0,2025,18,239.0,Server/Workstation,8.798894481080612,1.4487907874720887,,,0.18928105069779377,,,,,
AMD EPYC 4344P x 1,1,AMD,5,6570.0,3.8,65,83.2,8.0,2024,17,329.0,Server/Workstation,3.31301748452363,0.29842086667687073,,,-0.09372593142499319,,-0.08281713146635283,,,
AMD EPYC 4345P x 1,1,AMD,4,8315.0,3.8,65,89.6,8.0,2025,18,329.0,Server/Workstation,8.999764223237019,1.4909124955453188,,,0.21244095570089083,,,,,
AMD EPYC 4364P x 1,1,AMD,5,6570.0,4.5,105,83.2,8.0,2024,17,399.0,Server/Workstation,3.88614670621403,0.41860413323118895,-0.026975991560970414,,-0.07158480554778013,,-0.030584046834103873,,,0.06595796779179786
AMD EPYC 4464P x 1,1,AMD,5,13140.0,3.7,65,83.2,12.0,2024,17,429.0,Server/Workstation,3.8009080161782407,0.400729867153641,-0.05026583122896966,,-0.08752628354546843,,0.22681538330849094,,,
AMD EPYC 4465P x 1,1,AMD,4,16630.0,3.4,65,89.6,12.0,2025,18,399.0,Server/Workstation,8.919973708394394,1.474180693447436,,,0.2032412588024668,,,,,
AMD EPYC 4484PX x 1,1,AMD,5,17840.0,4.4,120,83.2,12.0,2024,17,599.0,Server/Workstation,3.8069441524327834,0.40199562458666493,-0.10878508005669651,,-0.09000153233401065,,0.34340414229613714,,,-0.06520319381076156
AMD EPYC 4545P x 1,1,AMD,4,16630.0,3.0,65,89.6,16.0,2025,18,549.0,Server/Workstation,8.903927139908182,1.4708157821068966,,,0.2013911195143061,,,,,
AMD EPYC 4564P x 1,1,AMD,5,13140.0,4.5,170,83.2,16.0,2024,17,699.0,Server/Workstation,4.235933099899875,0.4919531613359336,-0.04127969917081309,,-0.07891084563985284,,0.6168607173648759,,,0.05465841253786419
AMD EPYC 4565P x 1,1,AMD,4,16630.0,4.3,170,89.6,16.0,2025,18,589.0,Server/Workstation,9.039385890100489,1.4992210255761802,,,0.21700925967127027,,,,,
AMD EPYC 4584PX x 1,1,AMD,5,17840.0,4.2,120,83.2,16.0,2024,17,699.0,Server/Workstation,4.145992718467143,0.4730929664154132,-0.06318338115566036,,-0.08382486044228177,,0.651888155487395,,,-0.01233495815795127
AMD EPYC 4585PX x 1,1,AMD,4,16630.0,4.3,170,89.6,16.0,2025,18,699.0,Server/Workstation,8.770585159862206,1.4428544182045635,,,0.21792042146551616,,,,,0.3213390954552571
AMD EPYC 7232P x 1,1,AMD,7,7600.0,3.1,120,85.3,8.0,2019,12,450.0,Server/Workstation,-1.062474327875687,-0.6191050225891455,-1.0650901905082524,0.18355907057927467,-1.1923382200931032,,,-0.4353180712578455,,-0.7845813865195765
AMD EPYC 7251 x 1,1,AMD,14,4800.0,2.1,120,153.6,8.0,2017,10,574.0,Server/Workstation,-2.6241520494316517,-0.9465835785213158,,,,,,-0.6466271649250523,,-1.0563609831772993
AMD EPYC 7252 x 1,1,AMD,7,7600.0,3.1,120,85.3,8.0,2019,12,475.0,Server/Workstation,-1.6905208440951496,-0.7508042607551741,,,-1.1273333897841074,,,-0.4353180712578455,,
AMD EPYC 7262 x 1,1,AMD,7,15200.0,3.2,155,204.8,8.0,2019,12,575.0,Server/Workstation,-1.4900665034048872,-0.7087696609696448,,,-1.0467529031247675,,,-0.3746934494414105,,-0.7237039010206052
AMD EPYC 7272 x 1,1,AMD,7,7600.0,2.9,120,85.3,12.0,2019,12,625.0,Server/Workstation,-0.7338049889820294,-0.550184169717634,-1.0650685730932619,0.20224877754770887,-1.0997454332652783,,,-0.08701137698962969,,-0.7756418714807678
AMD EPYC 7282 x 1,1,AMD,7,7600.0,2.8,120,85.3,16.0,2019,12,650.0,Server/Workstation,-0.5707335338009345,-0.5159886350568362,-1.0727778979514753,0.1980663297300751,-1.0929657462798996,,,0.2006706954621511,,-0.7805278746863946
AMD EPYC 72F3 x 1,1,AMD,7,33200.0,3.7,180,204.8,8.0,2021,14,2468.0,Server/Workstation,0.3684818822389588,-0.3190383271229247,,,-0.6327224321576805,,,-0.08701137698962969,-0.22338891998186217,-0.4334389601505704
AMD EPYC 72F3 x 2,2,AMD,7,33200.0,3.7,180,204.8,8.0,2021,14,2468.0,Server/Workstation,2.29375858691716,0.08468571037546802,,,-0.560748932532591,,,,,
AMD EPYC 7302 x 1,1,AMD,7,15200.0,3.0,155,204.8,16.0,2019,12,978.0,Server/Workstation,-2.5937478982015674,-0.9402079304591464,,,,,,,,-0.7682678110280534
AMD EPYC 7302P x 1,1,AMD,7,15200.0,3.0,155,204.8,16.0,2019,12,825.0,Server/Workstation,0.05346562553789434,-0.3850961746645024,-1.0381633801976875,0.7447350553938463,-1.08959306180126,,,0.3184537311185349,,
AMD EPYC 7303 x 2,2,AMD,7,8300.0,2.4,130,204.8,16.0,2023,16,604.0,Server/Workstation,3.3791623723811295,0.3122912267767045,,,,,0.6806646072261238,,,
AMD EPYC 7313 x 1,1,AMD,7,16600.0,3.0,155,204.8,16.0,2021,14,1083.0,Server/Workstation,1.040978633842511,-0.1780180243777564,,,,,,,,
AMD EPYC 7313 x 2,2,AMD,7,16600.0,3.0,155,204.8,16.0,2021,14,1083.0,Server/Workstation,0.6538010816691611,-0.25920785242291333,,,-0.6499271576073111,,,,,-0.5866039326530688
AMD EPYC 7313P x 1,1,AMD,7,16600.0,3.0,155,204.8,16.0,2021,14,913.0,Server/Workstation,1.2528251669201291,-0.13359452023608648,,,-0.6807666059903905,,,,,
AMD EPYC 7343 x 1,1,AMD,7,16600.0,3.2,190,204.8,16.0,2021,14,1565.0,Server/Workstation,2.8006444949994935,0.19097797728171695,,0.904271176466775,,,,,,
AMD EPYC 7343 x 2,2,AMD,7,16600.0,3.2,190,204.8,16.0,2021,14,1565.0,Server/Workstation,4.705355309660288,0.5903894169429258,,1.4928883505695936,,,,,,
AMD EPYC 7351P x 1,1,AMD,14,4800.0,2.4,170,170.6,16.0,2017,10,750.0,Server/Workstation,0.10602507457756069,-0.3740746353068484,,,,,,0.09531017980432521,,
AMD EPYC 7352 x 1,1,AMD,7,15200.0,2.3,155,204.8,24.0,2019,12,1350.0,Server/Workstation,-0.4431851587327498,-0.48924217059603353,,,-1.110001933432467,,,0.6061358035703157,,-0.8046060844668599
AMD EPYC 7373X x 1,1,AMD,7,33200.0,3.05,240,204.8,16.0,2022,15,4185.0,Server/Workstation,1.0409776557358354,-0.17801822948343043,,,,,,,,
AMD EPYC 7373X x 2,2,AMD,7,33200.0,3.05,240,204.8,16.0,2022,15,4185.0,Server/Workstation,3.6642255932377856,0.37206802363239666,,1.6156068336335956,-0.6116246031930448,,,,,
AMD EPYC 73F3 x 1,1,AMD,7,33200.0,3.5,240,204.8,16.0,2021,14,3521.0,Server/Workstation,1.0912528026309556,-0.16747570058823183,-0.7478759766498371,,-0.6412877950166038,,,0.6061358035703157,,-0.4207146704861966
AMD EPYC 73F3 x 2,2,AMD,7,33200.0,3.5,240,204.8,16.0,2021,14,3521.0,Server/Workstation,1.5140905138574088,-0.07880805735122698,-0.7852709984834636,,-0.6434406483777044,,,1.2992829841302609,,-0.41838366709972075
AMD EPYC 7402 x 2,2,AMD,7,15200.0,2.8,180,204.8,24.0,2019,12,1783.0,Server/Workstation,-2.552547482212539,-0.931568342056458,,,,,,,,-0.7641474920550326
AMD EPYC 7402P x 1,1,AMD,7,3800.0,2.8,180,204.8,24.0,2019,12,1280.0,Server/Workstation,0.2596116124637279,-0.341868055842123,-1.0246032061765202,0.6800322183111298,-1.0662974991977379,,,0.6061358035703157,,
AMD EPYC 7413 x 1,1,AMD,7,16600.0,2.65,180,204.8,24.0,2021,14,1825.0,Server/Workstation,1.0409780703309133,-0.17801814254423964,,,,,,,,
AMD EPYC 7443 x 1,1,AMD,7,16600.0,2.85,200,204.8,24.0,2021,14,2010.0,Server/Workstation,2.793079098202294,0.18939153906594197,,0.9019332244535576,,,,,,
AMD EPYC 7443 x 2,2,AMD,7,16600.0,2.85,200,204.8,24.0,2021,14,2010.0,Server/Workstation,4.347436604602189,0.5153350705463104,,1.497038385385892,,,,1.7047480922384253,,
AMD EPYC 7452 x 1,1,AMD,7,3800.0,2.2,155,204.8,32.0,2019,12,2025.0,Server/Workstation,0.023789290906558836,-0.3913192020383877,,,-1.0662974991977379,,,0.7884573603642704,,-0.739062564699303
AMD EPYC 7453 x 1,1,AMD,7,16600.0,2.75,225,204.8,28.0,2021,14,1570.0,Server/Workstation,2.384204429894342,0.10365189887864046,,,,,,1.01160091167848,,
AMD EPYC 7453 x 2,2,AMD,7,16600.0,2.75,225,204.8,28.0,2021,14,1570.0,Server/Workstation,4.107580583353656,0.46503807111684725,,,,,,1.7047480922384253,,
AMD EPYC 7473X x 1,1,AMD,7,33200.0,2.8,240,204.8,24.0,2022,15,3900.0,Server/Workstation,1.040978212536392,-0.17801811272422993,,,,,,,,
AMD EPYC 74F3 x 1,1,AMD,7,33200.0,2.8,240,204.8,24.0,2021,14,2900.0,Server/Workstation,1.8315921635297219,-0.01222903127843633,-0.7829376092162299,1.0236504368178068,-0.6477603095222211,,,1.01160091167848,0.639402904553255,
AMD EPYC 74F3 x 2,2,AMD,7,33200.0,2.8,240,204.8,24.0,2021,14,2900.0,Server/Workstation,3.8078979101058454,0.4021956243568944,,1.624216122719929,-0.5828160265612699,,,1.7047480922384253,1.2309174395693878,
AMD EPYC 7502 x 1,1,AMD,7,3800.0,2.5,180,204.8,32.0,2019,12,2600.0,Server/Workstation,-0.046973111420937186,-0.40615783936325855,,,-1.0795427259477588,,,0.7884573603642704,,-0.7616671269967012
AMD EPYC 7502 x 2,2,AMD,7,3800.0,2.5,180,204.8,32.0,2019,12,2600.0,Server/Workstation,-2.8213846807097984,-0.9879425966990973,,,,,,,,-0.7910330218010655
AMD EPYC 7502P x 1,1,AMD,7,3800.0,2.5,180,204.8,32.0,2019,12,2300.0,Server/Workstation,0.2071336612861146,-0.35287250537272213,-1.023138961633908,0.7260631844411485,-1.0630134239965479,,,0.7884573603642704,,-0.737367649039312
AMD EPYC 7513 x 1,1,AMD,7,33200.0,2.6,200,204.8,32.0,2021,14,2840.0,Server/Workstation,1.040980362003367,-0.17801766198824817,,,,,,,,
AMD EPYC 7513 x 2,2,AMD,7,33200.0,2.6,200,204.8,32.0,2021,14,2840.0,Server/Workstation,1.3201437065492583,-0.11947804931451561,-0.8932946505748465,,-0.7843886386572771,,,1.7047480922384253,,-0.5108256237659905
AMD EPYC 7532 x 1,1,AMD,7,15200.0,2.3,155,204.8,24.0,2019,12,1350.0,Server/Workstation,0.22701533562679305,-0.34870338525739386,-1.0408357702491777,0.8896346612155952,-1.0828816272132729,,,0.7884573603642704,,-0.7525194540599136
AMD EPYC 7542 x 1,1,AMD,7,3800.0,2.9,225,204.8,32.0,2019,12,3400.0,Server/Workstation,0.6083490438212119,-0.2687389916030193,-1.0052266091322313,0.7284486263822316,-1.0499839237062139,,,1.01160091167848,,
AMD EPYC 7543 x 1,1,AMD,7,33200.0,2.8,225,204.8,32.0,2021,14,3761.0,Server/Workstation,2.440371438510919,0.11542993132342705,,1.0058153887847503,-0.6852509184377196,,,1.01160091167848,0.7842942589677167,
AMD EPYC 7543 x 2,2,AMD,7,33200.0,2.8,225,204.8,32.0,2021,14,3761.0,Server/Workstation,3.7305758937539637,0.3859814580745905,,1.6175656960991098,-0.7359530215576822,,,1.7047480922384253,1.3560805825233944,
AMD EPYC 7551 x 1,1,AMD,14,4800.0,,180,170.6,32.0,2017,10,3400.0,Server/Workstation,-0.3618745984270715,-0.47219162008654103,-1.6258772522798601,,,,-0.3010345097240865,,0.2799411497073434,
AMD EPYC 7551 x 2,2,AMD,14,4800.0,,180,170.6,32.0,2017,10,3400.0,Server/Workstation,5.304585247975313,0.7160459158236364,,1.4828833345632297,,1.5804503755608483,,,,
AMD EPYC 7552 x 1,1,AMD,7,3800.0,2.2,200,204.8,48.0,2019,12,4025.0,Server/Workstation,0.5056187610655699,-0.2902811857337022,-1.044340065763782,0.8282118716880227,-1.0795427259477588,,,1.2992829841302609,,-0.7500100424544884
AMD EPYC 7573X x 1,1,AMD,7,33200.0,2.8,280,204.8,32.0,2022,15,5590.0,Server/Workstation,3.2727335186999986,0.28997345478576686,,1.050161935797103,,,,,,
AMD EPYC 7573X x 2,2,AMD,7,33200.0,2.8,280,204.8,32.0,2022,15,5590.0,Server/Workstation,5.220487262416692,0.6984108516311974,,1.6520807654956045,,,,,,
AMD EPYC 75F3 x 1,1,AMD,7,33200.0,2.95,280,204.8,32.0,2021,14,4860.0,Server/Workstation,1.9874055083186415,0.02044450209027815,-0.7632536437245889,0.8767003103260045,-0.6499271576073111,,,1.2992829841302609,0.8226551268401625,-0.41604721743870066
AMD EPYC 75F3 x 2,2,AMD,7,33200.0,2.95,280,204.8,32.0,2021,14,4860.0,Server/Workstation,3.6568118044279783,0.37051337710071486,,1.5521748316144333,-0.628467106587542,,,1.7047480922384253,1.4456927412130813,-0.4357351724109204
AMD EPYC 7601 x 1,1,AMD,14,4800.0,2.2,180,170.6,32.0,2017,10,4200.0,Server/Workstation,-1.1285389357749236,-0.6329585482522455,-1.345501436552233,0.8091624960925365,-1.2342491157087396,,,,,
AMD EPYC 7601 x 2,2,AMD,14,4800.0,2.2,180,170.6,32.0,2017,10,4200.0,Server/Workstation,-1.0646483448073918,-0.6195609066140886,-1.3877827014254969,,-1.2538961130925363,,,1.2992829841302609,,-1.0358059150386563
AMD EPYC 7601 x 8,8,AMD,14,4800.0,2.2,180,,32.0,2017,10,,Server/Workstation,-3.462034521487132,-1.1222847095563546,,,,,,-1.3397743454849977,,
AMD EPYC 7642 x 1,1,AMD,7,3800.0,2.4,225,204.8,48.0,2019,12,4775.0,Server/Workstation,0.5168614048191783,-0.2879236412221347,-1.047040044812345,0.8691909952767674,-1.0662974991977379,,,1.2992829841302609,,-0.7756418714807678
AMD EPYC 7642 x 2,2,AMD,7,3800.0,2.4,225,204.8,48.0,2019,12,4775.0,Server/Workstation,4.107580583353656,0.46503807111684725,,,,,,1.7047480922384253,,
AMD EPYC 7643 x 1,1,AMD,7,33200.0,2.3,225,204.8,48.0,2021,14,4995.0,Server/Workstation,2.7042686221735477,0.17076828150127277,,,-0.7102806665035546,,,1.2992829841302609,0.9730883302672888,
AMD EPYC 7643 x 2,2,AMD,7,33200.0,2.3,225,204.8,48.0,2021,14,4995.0,Server/Workstation,4.22995777346295,0.4907001555167574,,,-0.71258747260147,,,2.3978952727983707,1.5214045629487778,
AMD EPYC 7662 x 1,1,AMD,7,33200.0,,240,204.8,56.0,2021,14,6366.0,Server/Workstation,0.5067812281563839,-0.290037420301844,-1.047337148057908,0.8610617919748762,-1.0862317140985551,,,1.2992829841302609,,-0.7541889035294549
AMD EPYC 7663 x 1,1,AMD,7,33200.0,,240,204.8,56.0,2021,14,6366.0,Server/Workstation,0.6917781101974063,-0.25124419750912386,,,-0.7454542806818223,,,,,
AMD EPYC 7663 x 2,2,AMD,7,33200.0,,240,204.8,56.0,2021,14,6366.0,Server/Workstation,4.444966538637274,0.5357867690735504,,1.6329216656198433,-0.7288858543345889,,,2.3978952727983707,1.5972426393402825,
AMD EPYC 7663P x 1,1,AMD,7,33200.0,,240,204.8,56.0,2023,16,3139.0,Server/Workstation,1.0409790310354614,-0.1780179410877331,,,,,,,,
AMD EPYC 7702 x 1,1,AMD,7,3800.0,,200,204.8,64.0,2019,12,6450.0,Server/Workstation,1.2219964419640983,-0.14005919997792987,,0.8438451452973403,-1.0630134239965479,,,1.2992829841302609,,-0.737367649039312
AMD EPYC 7713 x 1,1,AMD,7,33200.0,,225,204.8,64.0,2021,14,7060.0,Server/Workstation,1.9814120224366463,0.019187688296661287,-0.8232331946769751,0.9650719672638282,-0.6942803251571137,,,1.2992829841302609,1.050698932972212,-0.5297935264728011
AMD EPYC 7713 x 2,2,AMD,7,33200.0,,225,204.8,64.0,2021,14,7060.0,Server/Workstation,2.9398492021467413,0.2201687353019579,-0.9036115234512057,1.6350334425919897,-0.7056829572549255,,,2.3978952727983707,1.579224133837604,-0.5108256237659905
AMD EPYC 7713P x 1,1,AMD,7,33200.0,,225,204.8,64.0,2021,14,5010.0,Server/Workstation,1.0409783998240831,-0.1780180734506322,,,,,,,,
AMD EPYC 7742 x 1,1,AMD,7,3800.0,2.25,225,204.8,64.0,2019,12,6950.0,Server/Workstation,-0.1868155789875615,-0.4354823335944253,-1.0127946083050858,0.8607578071609474,-1.0499839237062139,,,,,-0.7399089464679847
AMD EPYC 7742 x 2,2,AMD,7,3800.0,2.25,225,204.8,64.0,2019,12,6950.0,Server/Workstation,1.6338211574598815,-0.05370094483591148,-1.0358400339801914,,-1.0339322146957066,,,1.7047480922384253,1.5851943008241074,-0.7934416941819773
AMD EPYC 7763 x 1,1,AMD,7,33200.0,2.45,280,204.8,64.0,2021,14,7890.0,Server/Workstation,2.852433854223111,0.20183803139986423,,0.995011077722264,-0.8019109893494791,,,1.7047480922384253,1.2019299026961363,-0.570699024813405
AMD EPYC 7763 x 2,2,AMD,7,33200.0,2.45,280,204.8,64.0,2021,14,7890.0,Server/Workstation,2.9011902468928157,0.21206208265163495,-0.9258091147829113,1.6373191260421152,-0.7671680409056059,,,2.3978952727983707,1.7127555264621268,-0.585617252750624
AMD EPYC 7773X x 1,1,AMD,7,33200.0,2.2,280,204.8,64.0,2022,15,8800.0,Server/Workstation,3.049199290008138,0.2430990802570152,,1.0357073062945545,-0.6586418097097546,,,1.7047480922384253,1.2267245613093518,-0.5806691971332549
AMD EPYC 7773X x 2,2,AMD,7,33200.0,2.2,280,204.8,64.0,2022,15,8800.0,Server/Workstation,4.768887897593885,0.603711986551205,,1.6776016415884243,-0.6608323910895733,1.6916760106710724,,,1.7403434829809559,
AMD EPYC 7F32 x 1,1,AMD,7,15200.0,3.7,180,204.8,8.0,2020,13,2100.0,Server/Workstation,0.5368718729230846,-0.283727513488645,,,-0.936886425546235,0.45198512374305744,-0.4355827987976717,-0.24116205681688818,-0.2524044951554343,-0.5866039326530688
AMD EPYC 7F32 x 2,2,AMD,7,15200.0,3.7,180,204.8,8.0,2020,13,2100.0,Server/Workstation,-0.6486472350541981,-0.5323268756691999,,,-0.9000028121156811,,,,,
AMD EPYC 7F52 x 1,1,AMD,7,3800.0,3.5,240,204.8,16.0,2020,13,3100.0,Server/Workstation,0.6482465253088552,-0.2603726241748625,-0.8704337675443465,0.7395107523328832,-0.9225389771380943,,,0.4519851237430572,,
AMD EPYC 7F52 x 2,2,AMD,7,3800.0,3.5,240,204.8,16.0,2020,13,3100.0,Server/Workstation,0.8084597979660294,-0.22677644075830972,-0.9110403857724965,1.447206587217103,-0.905589418824321,,,,,-0.5816607688555502
AMD EPYC 7F72 x 1,1,AMD,7,3800.0,3.2,240,204.8,24.0,2020,13,2450.0,Server/Workstation,0.3395798382641957,-0.32509898835520074,,,-1.0056728773813033,,,0.7884573603642704,,-0.6403596759578924
AMD EPYC 7F72 x 2,2,AMD,7,3800.0,3.2,240,204.8,24.0,2020,13,2450.0,Server/Workstation,1.0993364226086804,-0.16578059271772178,,1.350072037073108,-0.996427819237252,,,,,-0.6262417944121079
AMD EPYC 7K62 x 2,2,AMD,7,15200.0,3.2,155,204.8,8.0,2019,12,575.0,Server/Workstation,1.0409789192314791,-0.17801796453265148,,,,,,,,
AMD EPYC 7K83 x 1,1,AMD,14,4800.0,2.2,170,170.6,16.0,2017,10,7800.0,Server/Workstation,0.876102662971771,-0.2125919598981202,,,-0.7242020050221631,,,,,
AMD EPYC 8534P x 1,1,AMD,5,35500.0,2.3,200,230.4,64.0,2023,16,4950.0,Server/Workstation,4.417880753370883,0.5301069711722978,,1.1236765859277256,,,1.4460893346229895,,,
AMD EPYC 8534PN x 1,1,AMD,5,35500.0,,175,230.4,64.0,2023,16,5450.0,Server/Workstation,4.278916627416334,0.5009666622174958,,1.121644272682893,,,1.3403367876896688,,,
AMD EPYC 9184X x 2,2,AMD,5,90160.0,3.55,320,460.8,16.0,2023,16,4928.0,Server/Workstation,7.375307631884295,1.1502694221584124,,2.3179898719134684,,,,,,
AMD EPYC 9374F x 1,1,AMD,5,52560.0,3.85,320,460.8,32.0,2022,15,4850.0,Server/Workstation,4.0428576655688175,0.45146589334973575,,1.8347156683856944,-0.2656539276916847,,,,1.1047661542424878,-0.27159593470015597
AMD EPYC 9374F x 2,2,AMD,5,52560.0,3.85,320,460.8,32.0,2022,15,4850.0,Server/Workstation,5.102756131641737,0.6737230302181912,,2.4389508129279847,-0.2686125097314296,,,,1.659762996321616,-0.26617586723081743
AMD EPYC 9384X x 1,1,AMD,5,90160.0,3.1,320,460.8,32.0,2023,16,5529.0,Server/Workstation,1.0409778391393791,-0.17801819102432534,,,,,,,,
AMD EPYC 9384X x 2,2,AMD,5,90160.0,3.1,320,460.8,32.0,2023,16,5529.0,Server/Workstation,7.665935339712044,1.211213073181673,,2.407803222465592,,,,,,
AMD EPYC 9534 x 2,2,AMD,5,52560.0,2.45,280,460.8,64.0,2022,15,8803.0,Server/Workstation,6.785129440463302,1.0265110441003307,,1.4506579968024198,,2.46080909820894,,,,
AMD EPYC 9554 x 1,1,AMD,5,52560.0,3.1,360,460.8,64.0,2022,15,9087.0,Server/Workstation,4.159497063108363,0.4759247819820148,,1.8320018385148913,-0.39813080160623393,,,,1.515802307400108,-0.4090049348132885
AMD EPYC 9554 x 2,2,AMD,5,52560.0,3.1,360,460.8,64.0,2022,15,9087.0,Server/Workstation,5.128401059908139,0.6791006852617031,,2.4293244860703034,-0.3998185657199542,,,,1.993657911928529,-0.40428237585911475
AMD EPYC 9575F x 1,1,AMD,4,66520.0,3.3,400,576.0,64.0,2024,17,11791.0,Server/Workstation,6.7595357440578905,1.021144132205436,,2.1350730843221974,0.08568925006174677,,1.9902013968454,,,
AMD EPYC 9575F x 2,2,AMD,4,66520.0,3.3,400,576.0,64.0,2024,17,11791.0,Server/Workstation,8.129964903344952,1.3085185090669569,,2.792729067770537,0.10626610775050604,,2.6932072453704734,,,
AMD EPYC 9634 x 1,1,AMD,5,78840.0,2.25,290,460.8,84.0,2022,15,10304.0,Server/Workstation,4.300442507636388,0.5054805667653616,,,,,,,1.5327041182027115,
AMD EPYC 9634 x 2,2,AMD,5,78840.0,2.25,290,460.8,84.0,2022,15,10304.0,Server/Workstation,5.344961052437128,0.7245125859677052,,,,,,,1.993657911928529,
AMD EPYC 9654 x 1,1,AMD,5,78840.0,2.4,360,460.8,96.0,2022,15,11805.0,Server/Workstation,4.753346473370864,0.6004530022605068,,1.8202016066854405,-0.4324394838892198,,2.0998989347403345,,1.603321685416664,-0.41253227533125614
AMD EPYC 9654 x 2,2,AMD,5,78840.0,2.4,360,460.8,96.0,2022,15,11805.0,Server/Workstation,5.389454540837038,0.7338427205585155,,,-0.42895515980660903,,2.67346174166277,,2.0587972140994903,-0.41253227533125614
AMD EPYC 9655 x 1,1,AMD,4,99780.0,2.6,400,576.0,96.0,2024,17,11852.0,Server/Workstation,6.803234494286764,1.0303076128797546,,2.1068232659763915,-0.01828622382341827,,2.2802777175579294,,,
AMD EPYC 9655 x 2,2,AMD,4,99780.0,2.6,400,576.0,96.0,2024,17,11852.0,Server/Workstation,8.063320361171835,1.2945433731407885,,2.767610144386488,-0.012535776694980072,,2.899057609590848,,,
AMD EPYC 9655P x 1,1,AMD,4,99780.0,2.6,400,576.0,96.0,2024,17,10811.0,Server/Workstation,6.629019712653578,0.9937753602108549,,2.039152231758301,-0.011389644764357776,,,,,0.11446408139831998
