Model and Mult,Multiplier,Brand,process_size,transistors,frequency,tdp,memory_bandwidth,#_of_cores,year,time,launch_price,market,Generalized Performance,Performance,FinanceBench,amg,numpy,hpcg,stockfish,nqueens,linux_kernel,pybench
AMD EPYC 9684X x 1,1,AMD,5,135240.0,2.55,400,460.8,96.0,2023,16,14756.0,Server/Workstation,5.578946511827111,0.7735785483570591,,1.8450898120120662,-0.4464994694575184,,2.1901087209173795,,,
AMD EPYC 9684X x 2,2,AMD,5,135240.0,2.55,400,460.8,96.0,2023,16,14756.0,Server/Workstation,7.9145985429580765,1.263356908999056,,2.4754333387119054,,,2.8266739653833426,,,
AMD EPYC 9754 x 1,1,AMD,5,71000.0,2.25,360,460.8,128.0,2023,16,11900.0,Server/Workstation,5.496322081587994,0.7562524837497818,,1.8061246328707838,,1.1895840668738364,2.091076170322747,,,
AMD EPYC 9754 x 2,2,AMD,5,71000.0,2.25,360,460.8,128.0,2023,16,11900.0,Server/Workstation,5.981036087341931,0.8578953774489017,,,-0.733591745372002,2.0614230361771577,2.6321741299312507,,,
AMD EPYC 9755 x 1,1,AMD,4,133040.0,2.7,500,576.0,128.0,2024,17,12984.0,Server/Workstation,6.697839749669146,1.0082066900748696,,2.137362347835861,-0.09871347293603261,,2.593562184262403,,,-0.03313293485243296
AMD EPYC 9755 x 2,2,AMD,4,133040.0,2.7,500,576.0,128.0,2024,17,12984.0,Server/Workstation,8.270982810500392,1.3380894890191,,2.8119101540507216,-0.1012166031541506,2.8903717578961645,3.1520240688532617,,,0.04533868058906165
AMD EPYC 9845 x 1,1,AMD,3,,2.1,390,576.0,160.0,2024,17,13564.0,Server/Workstation,6.020842506410966,0.8662426493947232,,1.89941639165583,,,,,,
AMD EPYC 9965 x 1,1,AMD,3,,2.25,500,576.0,192.0,2024,17,14813.0,Server/Workstation,6.904401078987598,1.05152190479743,,2.072148786349228,-0.17128416577086814,,2.7378187853626272,,,
AMD EPYC 9965 x 2,2,AMD,3,,2.25,500,576.0,192.0,2024,17,14813.0,Server/Workstation,7.674779159995603,1.2130675924947218,,2.744444534314372,-0.16859960040019928,,3.2930701443069843,,,-0.043371932153527304
AMD FX-6300 Six-Core x 1,1,AMD,32,1200.0,3.5,95,29.9,6.0,2012,5,132.0,Desktop,-6.680964567054669,-1.797283493504465,,,,,,,,-1.1770169943374071
AMD FX-8150 Eight-Core x 1,1,AMD,32,1200.0,3.6,125,,8.0,2011,4,245.0,Desktop,-8.34513138860579,-2.146253668355141,,,-1.8633442747758346,,,,,-1.2328083539658232
AMD FX-8350 Eight-Core x 1,1,AMD,32,1200.0,4.0,125,29.9,8.0,2012,5,199.0,Desktop,-4.618876772577124,-1.3648706314780792,,,,,,-1.2656663733312756,,-1.402562031359845
AMD FX-8370 Eight-Core x 1,1,AMD,32,1200.0,4.0,125,29.9,8.0,2014,7,199.0,Desktop,-5.782015225545981,-1.6087768457179226,,-1.1497694313852485,-1.7726899065077042,,,,,
AMD Phenom 9650 x 1,1,AMD,65,450.0,2.3,95,,4.0,2008,1,215.0,Desktop,-5.06410338580038,-1.4582331520214686,,,,,,-1.9841313618755105,,
AMD Phenom II X3 720 x 1,1,AMD,45,758.0,2.8,95,21.3,3.0,2010,3,145.0,Desktop,-5.329167834273789,-1.5138162736968832,,,,,,-2.090741096933769,,
AMD RYZEN AI MAX PRO 390 x 1,1,AMD,4,,3.2,55,256.0,12.0,2025,18,,Mobile,3.4543601682944405,0.32805995119087983,,,,0.7621400520468968,,,,
AMD RYZEN AI MAX+ 395 x 1,1,AMD,4,,3.0,55,256.0,16.0,2025,18,,Mobile,4.953060688114729,0.6423324001290284,0.10560094676240617,,,,,,,0.2169570534567109
AMD RYZEN AI MAX+ PRO 395 x 1,1,AMD,4,,3.0,55,256.0,16.0,2025,18,,Mobile,7.257837507029788,1.1256363328074306,,,,,,,,0.2169570534567109
AMD Ryzen 3 1300X x 1,1,AMD,14,4800.0,3.4,65,42.7,4.0,2017,10,129.0,Desktop,-2.256204924758899,-0.8694263063235839,,-0.45408745901869096,-1.1812063797242587,,,,,
AMD Ryzen 3 2200G x 1,1,AMD,14,4950.0,3.5,65,46.9,4.0,2018,11,99.0,Desktop,-3.395951114161196,-1.108427241716823,,-0.5482552742357392,-1.2578722614721762,,,-1.627456417936779,,
AMD Ryzen 3 3100 x 1,1,AMD,7,3800.0,3.6,65,51.2,4.0,2020,13,99.0,Desktop,-1.3847162050834643,-0.6866780584033041,,,-1.011884077473944,,,,,-0.6080681713213689
AMD Ryzen 3 3200G x 1,1,AMD,12,4940.0,3.6,65,46.9,4.0,2019,12,99.0,Desktop,-3.8218947296291113,-1.1977461826075104,,,-1.2658723041392523,,,,,
AMD Ryzen 3 3200U x 1,1,AMD,14,4940.0,2.6,15,38.4,2.0,2019,12,,Mobile,-4.552310376263127,-1.3509118824752457,,-1.2734827446286836,-1.3942534707874588,,,,,
AMD Ryzen 3 3300X x 1,1,AMD,7,3800.0,3.8,65,51.2,4.0,2020,13,120.0,Desktop,-0.5052972383849308,-0.5022668644042888,,-0.47456160250111523,-0.7550466803732618,,,,,-0.5022785631875317
AMD Ryzen 5 1500X x 1,1,AMD,14,4800.0,3.5,65,42.7,4.0,2017,10,189.0,Desktop,-2.8624317971397852,-0.9965500387008177,,,,,,-1.0986122886681096,,
AMD Ryzen 5 1600 Six-Core x 1,1,AMD,6,,2.8,15,88.0,4.0,2023,16,,Mobile,-2.0706583014350546,-0.8305178046362814,,,,,,-0.7801585575495751,,
AMD Ryzen 5 1600X Six-Core x 1,1,AMD,6,,2.8,15,88.0,4.0,2023,16,,Mobile,-1.7386583680278176,-0.7608985373181478,,,,,,-0.6466271649250523,,
AMD Ryzen 5 2400G with Radeon Vega x 1,1,AMD,6,,2.8,15,88.0,4.0,2023,16,,Mobile,-2.7069870440638892,-0.9639537977723062,,,,,,-1.0360919316867756,,
AMD Ryzen 5 2400G x 1,1,AMD,14,4950.0,3.6,65,46.9,4.0,2018,11,169.0,Desktop,-2.601476027041563,-0.9418284930359487,,-0.6102938323046381,-1.173853405419,,,-1.0360919316867756,,
AMD Ryzen 5 2600 Six-Core x 1,1,AMD,6,,2.8,15,88.0,4.0,2023,16,,Mobile,-2.203565344407771,-0.8583879636999294,,,-1.1168985124915274,,,-0.693147180559945,,-0.787005630131083
AMD Ryzen 5 2600X Six-Core x 1,1,AMD,6,,2.8,15,88.0,4.0,2023,16,,Mobile,-1.6425163104118348,-0.7407378717993618,,,,,,-0.5978370007556202,,-0.6806581689891704
AMD Ryzen 5 3400G x 1,1,AMD,12,4940.0,3.7,65,46.9,4.0,2019,12,149.0,Desktop,-2.4936396889381927,-0.919215576304371,-1.5296789436255214,-0.5900074246981433,-1.1273333897841074,,,-0.9694005571881035,,
AMD Ryzen 5 3500U x 1,1,AMD,12,4940.0,2.1,15,,4.0,2019,12,,Mobile,-3.764186842560626,-1.185645033143551,,,,,,,,-0.8853195852258899
AMD Ryzen 5 3500X x 1,1,AMD,7,3800.0,3.6,65,51.2,6.0,2019,12,130.0,Desktop,-0.48708551177801884,-0.4984479267016232,,,,,,,,-0.5575873896740298
AMD Ryzen 5 3600 x 1,1,AMD,7,3800.0,3.6,65,51.2,6.0,2019,12,199.0,Desktop,-0.9024844357009222,-0.5855556813070442,,,-0.779438133497421,,,-0.5978370007556202,,-0.5826513583372455
AMD Ryzen 5 3600X x 1,1,AMD,7,3800.0,3.8,95,51.2,6.0,2019,12,249.0,Desktop,-0.7004355652617519,-0.543186714006146,,,-0.779438133497421,,,-0.4924764850977943,,-0.5484083349150328
AMD Ryzen 5 3600XT x 1,1,AMD,7,3800.0,3.8,95,51.2,6.0,2019,12,249.0,Desktop,0.1613426531768019,-0.36247472547443127,-0.7111553270630964,-0.5298839960208461,,,,,,
AMD Ryzen 5 4500U x 1,1,AMD,7,9800.0,2.3,15,51.2,6.0,2020,13,,Mobile,-1.4504361685756106,-0.7004593132955617,-0.9295417348618074,-0.6940113081899639,-1.1849032416055847,-0.5596157879354227,,-1.1856236656577392,-1.253989210218612,
AMD Ryzen 5 5500 x 1,1,AMD,7,10700.0,3.6,65,51.2,6.0,2022,15,159.0,Desktop,-0.1373246840474651,-0.42510425969155524,,,-0.6542749905434144,,-0.9254853324223831,-0.5978370007556202,,-0.3470543459517499
AMD Ryzen 5 5500U x 1,1,AMD,7,9800.0,2.1,15,51.2,6.0,2021,14,,Mobile,-0.9927336404058972,-0.6044806354271333,,,-1.106571398335678,-0.33647223662121295,-1.3739447053057248,,-1.0965652050463843,
AMD Ryzen 5 5560U x 1,1,AMD,7,10700.0,2.3,15,51.2,6.0,2021,14,,Mobile,-1.4135545336170074,-0.6927253587222538,,,,,,,-0.9889252263546036,
AMD Ryzen 5 5600G x 1,1,AMD,7,10700.0,3.9,65,51.2,6.0,2021,14,259.0,Desktop,-0.6505934978782002,-0.5327350004252052,,-0.4268358623893924,-0.5868810728094394,,,-0.54654370636807,,
AMD Ryzen 5 5600X x 1,1,AMD,7,4150.0,3.7,65,51.2,6.0,2020,13,299.0,Desktop,0.0049670040325431805,-0.395266172171702,,-0.4425684602078128,-0.5180239878662496,,-0.6866884760901399,-0.3101549283038394,-0.6060242524519,-0.22172410465998293
AMD Ryzen 5 7600 x 1,1,AMD,5,6570.0,3.8,65,83.2,6.0,2023,16,229.0,Desktop,1.987639296580591,0.020493526701028664,,0.034659251669577174,-0.13563682704063051,0.0,-0.37082448213036656,,,-0.06520319381076156
AMD Ryzen 5 7600X x 1,1,AMD,5,6570.0,4.7,105,83.2,6.0,2022,15,299.0,Desktop,1.6586891150271443,-0.04848621792990443,-0.23922501889186698,-0.02280418042694521,-0.02872110111599735,0.0,,-0.3101549283038394,-0.21748339100782044,0.014285957247476944
AMD Ryzen 5 8400F x 1,1,AMD,4,25000.0,4.2,65,83.2,6.0,2024,17,170.0,Desktop,2.579185647147104,0.14453880312173406,,,-0.3032806386773066,,-0.4577004920809209,,,-0.05182506786458596
AMD Ryzen 5 8500G x 1,1,AMD,4,20900.0,3.5,65,83.2,6.0,2024,17,179.0,Mobile,2.228738713073923,0.07105126192354255,,0.06793890767118782,-0.2582955427604974,,,,,
AMD Ryzen 5 8600G x 1,1,AMD,4,25000.0,4.3,65,83.2,6.0,2024,17,229.0,Desktop,1.3575742871188519,-0.11162898269632732,,0.07707630891114192,-0.22796830879329466,0.13353139262452252,-0.44863865912804357,-0.3746934494414105,,0.0053333459753632795
AMD Ryzen 5 9600X x 1,1,AMD,4,8315.0,3.9,65,89.6,6.0,2024,17,279.0,Desktop,3.3565779363118344,0.3075553466341958,,,0.1655720217093526,0.0,-0.24273994801163568,,,0.30918827767274504
AMD Ryzen 5 PRO 4650G x 1,1,AMD,7,9800.0,3.7,65,51.2,6.0,2020,13,209.0,Desktop,0.11975438991956786,-0.3711956441423601,,,,,,,,-0.49689931406779575
AMD Ryzen 5 PRO 6650U x 1,1,AMD,6,,2.9,15,76.8,6.0,2022,15,,Mobile,-0.7645045987997341,-0.5566217744500408,,-0.4920096067861941,,,,,,-0.38637144929258405
AMD Ryzen 7 1700 Eight-Core x 1,1,AMD,14,4800.0,3.0,65,42.7,8.0,2017,10,329.0,Desktop,-1.1494414302522948,-0.6373417309104508,-0.8047688232588914,-0.3641722567702601,-1.211171168426195,,,-0.54654370636807,-0.8785315268844451,-1.001231408523238
AMD Ryzen 7 1700X Eight-Core x 1,1,AMD,14,4800.0,3.4,95,42.7,8.0,2017,10,399.0,Desktop,-1.9933433366748052,-0.8143051170489817,,,-1.2303656156823424,,,-0.4353180712578455,,
AMD Ryzen 7 1800X Eight-Core x 1,1,AMD,14,4800.0,3.6,95,42.7,8.0,2017,10,499.0,Desktop,-1.7650099753848603,-0.7664243805857189,,-0.3698468043221155,-1.1557040869133228,,,-0.3746934494414105,,-0.821122385982556
AMD Ryzen 7 2700 Eight-Core x 1,1,AMD,12,4800.0,3.2,65,46.9,8.0,2018,11,299.0,Desktop,-1.6518935063456015,-0.7427042381889799,-1.266293312946182,-0.4329004947658426,-1.0862317140985551,,,-0.4353180712578455,,-0.8404354621261625
AMD Ryzen 7 2700X Eight-Core x 1,1,AMD,12,4800.0,3.7,105,46.9,8.0,2018,11,329.0,Desktop,-1.2839391538879361,-0.6655454503491067,,-0.5202168282244486,-1.0212738178237828,,,-0.24116205681688818,,
AMD Ryzen 7 3700X x 1,1,AMD,7,3800.0,3.6,65,51.2,8.0,2019,12,329.0,Desktop,-0.5252452637320444,-0.5064498981020882,,-0.5301957507009121,-0.7526399403426964,,,-0.24116205681688818,-0.45688109435526414,
AMD Ryzen 7 3800X x 1,1,AMD,7,3800.0,3.9,105,51.2,8.0,2019,12,399.0,Desktop,-0.46156078010520485,-0.4930954764787686,,,-0.8171784614802675,,,-0.3101549283038394,,-0.5001303346492421
AMD Ryzen 7 3800XT x 1,1,AMD,7,3800.0,3.8,105,51.2,8.0,2020,13,399.0,Desktop,-0.20129049965611304,-0.43851767568347494,-1.1330283080613182,-0.677611506175051,-0.7242020050221631,-0.5596157879354227,-0.46443682329669045,-0.16705408466316607,-0.2647210885610214,-0.40664644315399556
AMD Ryzen 7 4700U x 1,1,AMD,7,9800.0,,15,51.2,8.0,2020,13,,Mobile,-1.4105798530053657,-0.6921015782215694,,,-1.0997454332652783,,-1.426909448834932,,-1.0283039160048215,-0.5473832194997881
AMD Ryzen 7 4800U x 1,1,AMD,7,9800.0,,15,51.2,8.0,2020,13,,Mobile,1.0409800056031004,-0.17801773672418314,,,,,,,,
AMD Ryzen 7 5700G x 1,1,AMD,7,10700.0,3.8,65,51.2,8.0,2021,14,359.0,Desktop,0.6261354862120709,-0.265009234567409,,,-0.6116246031930448,,-0.5397004855941354,-0.24116205681688818,,-0.2634547771164568
AMD Ryzen 7 5700X x 1,1,AMD,7,4150.0,3.4,65,51.2,8.0,2022,15,299.0,Desktop,-0.9020853498332074,-0.5854719943453566,,,,,,-0.3101549283038394,,
AMD Ryzen 7 5800H x 1,1,AMD,7,10700.0,3.2,45,68.3,8.0,2021,14,,Mobile,1.0409805627708193,-0.17801761988798995,,,,,,,,
AMD Ryzen 7 5800U x 1,1,AMD,7,10700.0,,15,51.2,8.0,2021,14,,Mobile,1.3828140638408786,-0.10633628656645971,,,,,,,,-0.37058484336194386
AMD Ryzen 7 5800X x 1,1,AMD,7,4150.0,3.8,105,51.2,8.0,2020,13,449.0,Desktop,0.9960248771610077,-0.18744467567628254,-0.2544625690442128,-0.48386011878862334,-0.4589662382226489,-0.33647223662121295,-0.30141427011738386,-0.08701137698962969,-0.3161085404741817,-0.29033811650989705
AMD Ryzen 7 5800X3D x 1,1,AMD,7,8850.0,3.4,105,51.2,8.0,2022,15,449.0,Desktop,1.0082268556862632,-0.1848859618957051,-0.26750560212015984,-0.4509784515934143,-0.3863955453878134,-0.33647223662121295,-0.36326589731751113,-0.16705408466316607,-0.25145075164012454,-0.3190982686851598
AMD Ryzen 7 7700 x 1,1,AMD,5,6570.0,3.8,65,83.2,8.0,2023,16,329.0,Desktop,2.2625954791685574,0.07815091168876898,,-0.003825436840546814,-0.06915467069448766,0.0,-0.08378269860110876,,,-0.010582109330536937
AMD Ryzen 7 7700X x 1,1,AMD,5,6570.0,4.5,105,83.2,8.0,2022,15,399.0,Desktop,2.124943908497589,0.04928584115410661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMD Ryzen 7 7735HS x 1,1,AMD,6,,3.2,35,76.8,8.0,2023,16,,Mobile,-0.31287954829579456,-0.46191752316926626,,,,,,,-0.5031891782313895,
AMD Ryzen 7 7800X3D x 1,1,AMD,5,11270.0,4.2,120,83.2,8.0,2023,16,449.0,Desktop,2.181106062802192,0.06106285566602937,,0.05207488515622671,-0.11764148282155151,0.0,-0.025252836779081633,,,-0.11383514264879846
AMD Ryzen 7 7840HS x 1,1,AMD,4,25000.0,3.8,35,89.6,8.0,2023,16,,Mobile,1.62070310283782,-0.05645175668715047,,,-0.3109789061030588,,-0.4388687084937537,,-0.18640319511360293,-0.043371932153527304
AMD Ryzen 7 7840U x 1,1,AMD,4,25000.0,3.3,28,89.6,8.0,2023,16,,Mobile,2.6293288822170573,0.1550536705516894,,,-0.2451853768362895,-0.15415067982725827,,,,-0.03484673133016791
AMD Ryzen 7 8700G x 1,1,AMD,4,25000.0,4.2,65,83.2,8.0,2024,17,329.0,Desktop,3.1415017449941565,0.2624545940423427,,,-0.22229453470738658,,-0.257025843039731,,,0.025135973271543044
AMD Ryzen 7 8845HS x 1,1,AMD,4,25000.0,3.8,45,89.6,8.0,2023,16,,Mobile,2.143500382092756,0.053177071138539034,,,,,-0.20531781664896798,,,-0.08656801630845834
AMD Ryzen 7 9700X x 1,1,AMD,4,8315.0,3.8,65,89.6,8.0,2024,17,359.0,Desktop,3.697410345461757,0.37902675435338407,,,0.17891826366224706,0.13353139262452252,-0.038679145746254306,,,0.3435897043900775
AMD Ryzen 7 9800X3D x 1,1,AMD,4,8315.0,4.7,120,89.6,8.0,2024,17,479.0,Desktop,2.4322859755739836,0.11373443699058061,,0.11724839961370748,0.15883150509550958,0.13353139262452252,0.16579758026442093,0.0,,0.30196802969925773
AMD Ryzen 7 PRO 3700 x 1,1,AMD,7,3800.0,3.6,65,51.2,8.0,2019,12,329.0,Desktop,-1.0420810833771215,-0.6148286279355111,-1.170451787024561,,,,,,,
AMD Ryzen 7 PRO 3700U x 1,1,AMD,12,4940.0,2.3,15,,4.0,2019,12,,Mobile,-1.2208615710134054,-0.6523182937685146,,,,,,,,-0.6309699356080536
AMD Ryzen 7 PRO 4750G x 1,1,AMD,7,9800.0,3.6,65,51.2,8.0,2020,13,209.0,Desktop,-0.5462928307450938,-0.5108635019821842,,,,,,-0.16705408466316607,,
AMD Ryzen 7 PRO 5850U x 1,1,AMD,7,10700.0,,15,51.2,8.0,2021,14,,Mobile,0.037951685844434806,-0.38834939554196424,-0.5773005116991357,,-0.6263462150184047,-0.5596157879354227,-1.1546403698348477,-0.54654370636807,-0.7179894153545305,-0.449402811139584
AMD Ryzen 7 PRO 6850U x 1,1,AMD,6,,2.7,15,76.8,8.0,2022,15,,Mobile,0.8052988208313275,-0.22743928701212923,-0.6330701730349411,,-0.5667190995190952,-0.5596157879354227,-1.0001151757953188,,,-0.2648162477147773
AMD Ryzen 7 PRO 7840U x 1,1,AMD,4,25000.0,3.3,28,89.6,8.0,2024,17,,Server/Workstation,2.7214534677954845,0.17437188572159945,,,-0.18209508187508305,-0.15415067982725827,,,,-0.0668629452291265
AMD Ryzen 9 3900X x 1,1,AMD,7,7600.0,3.8,105,51.2,12.0,2019,12,499.0,Desktop,0.1231006914695002,-0.3704939359831417,,-0.49678216223140836,-0.7598776076429266,,,0.2006706954621511,-0.045571434250816445,-0.5453298306879457
AMD Ryzen 9 3900XT x 1,1,AMD,7,7600.0,3.9,105,51.2,12.0,2020,13,499.0,Desktop,0.780114942573352,-0.23272026142244254,-0.4280055530201583,-0.505022998530368,-0.7647319861077255,-0.33647223662121295,,0.2006706954621511,0.07779574523290655,-0.46400161056073674
AMD Ryzen 9 3950X x 1,1,AMD,7,7600.0,3.5,105,51.2,16.0,2019,12,749.0,Desktop,0.4335624479256183,-0.3053911517959427,,-0.6097915557275293,-0.7478437680792034,,,0.4519851237430572,0.19292977271771328,-0.5494324005447231
AMD Ryzen 9 5900HX x 1,1,AMD,7,10700.0,3.3,45,68.3,8.0,2021,14,,Mobile,-0.0034165693831556517,-0.3970241792674227,,,-0.6369959429350622,-0.8472978603872034,-0.6984319851981731,-0.08701137698962969,-0.538178170081455,-0.3061279182425318
AMD Ryzen 9 5900X x 1,1,AMD,7,8300.0,3.7,105,51.2,12.0,2020,13,549.0,Desktop,1.552725728648271,-0.07070638299601184,-0.23737190822505383,-0.43694280229357574,-0.4862158806700245,,0.062356144555529625,0.3184537311185349,0.050325083887515554,-0.29694752589757023
AMD Ryzen 9 5950X x 1,1,AMD,7,8300.0,3.4,105,51.2,16.0,2020,13,799.0,Desktop,1.8003456689916493,-0.018781315893904416,-0.2527592812878403,,-0.4464994694575184,-0.33647223662121295,,0.6061358035703157,0.20039806732523946,-0.31263412206526997
AMD Ryzen 9 6900HX x 1,1,AMD,6,,3.3,45,76.8,8.0,2022,15,,Mobile,0.8773227457826037,-0.21233611264391777,,-0.1961371650654513,-0.4862158806700245,,,,,
AMD Ryzen 9 7900 x 1,1,AMD,5,13140.0,3.7,65,83.2,12.0,2023,16,429.0,Desktop,2.406767058673049,0.10838320610579544,,0.04409760669453178,-0.07768610574395662,0.0,0.20484225750989893,,,-0.06020734661739002
AMD Ryzen 9 7900X x 1,1,AMD,5,13140.0,4.7,170,83.2,12.0,2022,15,549.0,Desktop,2.503258686759179,0.12861717537424766,-0.027189624387991884,0.04827371892139709,-0.04992330876660045,0.13353139262452252,0.4028495757081991,0.3184537311185349,0.34881807244351215,0.003552401604368427
AMD Ryzen 9 7900X3D x 1,1,AMD,5,17840.0,4.4,120,83.2,12.0,2023,16,599.0,Desktop,2.609591984455626,0.15091490959718545,,0.048359433223037485,-0.08629095293747557,0.13353139262452252,0.3573676490448463,,,-0.05182506786458596
AMD Ryzen 9 7950X x 1,1,AMD,5,13140.0,4.5,170,83.2,16.0,2022,15,699.0,Desktop,2.81727514049966,0.19446536760395838,-0.0027868690830761267,0.07840347298763817,0.00226244440396961,0.13353139262452252,0.6416865144742232,0.6061358035703157,0.5785047223466577,-0.007067167223092419
AMD Ryzen 9 7950X3D x 1,1,AMD,5,17840.0,4.2,120,83.2,16.0,2023,16,699.0,Desktop,2.4926580790058135,0.12639426364850648,,0.04747374767631385,-0.07036899992688994,0.13353139262452252,0.6495943951934819,0.6061358035703157,,-0.050140147499666554
AMD Ryzen 9 9900X x 1,1,AMD,4,16630.0,4.4,120,89.6,12.0,2024,17,499.0,Desktop,4.195659407998919,0.48350790385179554,,,0.18175514499744683,0.25131442828090633,0.4733842955944816,,,0.34860224621362157
AMD Ryzen 9 9900X3D x 1,1,AMD,4,16630.0,4.4,120,89.6,12.0,2025,18,599.0,Desktop,3.7205220772933583,0.3838732066404561,,0.20494325247123868,0.1751231926936958,0.25131442828090633,,,,0.3140309021485326
AMD Ryzen 9 9950X x 1,1,AMD,4,16630.0,4.3,170,89.6,16.0,2024,17,649.0,Desktop,3.9806846650473617,0.4384284246404744,0.21645560839093037,,0.17131366427702766,0.25131442828090633,0.7002404124846429,0.6061358035703157,,0.31160665853702696
AMD Ryzen 9 9950X3D x 1,1,AMD,4,16630.0,4.3,170,89.6,16.0,2025,18,699.0,Desktop,3.831024292067767,0.4070451487269291,,0.1838052579330416,0.22064893611872005,0.25131442828090633,,,,0.35616848659693723
AMD Ryzen 9 PRO 3900 x 1,1,AMD,6,,3.3,45,76.8,8.0,2022,15,,Mobile,-0.7349649850609543,-0.5504274169866255,-1.1709380548315433,,-0.796873195319522,,,,,
AMD Ryzen AI 5 340 x 1,1,AMD,4,,,28,89.6,6.0,2025,18,,Mobile,7.126553431067459,1.0981065044570606,,,,,,,,0.20382776201491826
AMD Ryzen AI 7 PRO 360 x 1,1,AMD,4,,,28,89.6,8.0,2025,18,,Mobile,1.0409788050781863,-0.17801798847021233,,,,,,,,
AMD Ryzen AI 9 365 x 1,1,AMD,4,,,28,89.6,10.0,2024,17,,Mobile,0.6479416818959836,-0.2604365488113318,,,,,-0.6062375486259377,,,
AMD Ryzen AI 9 HX 370 x 1,1,AMD,4,,,28,89.6,12.0,2024,17,,Mobile,1.3373099427917206,-0.11587834741835806,,,-0.5352823260955306,,-0.5657730308892219,,,
AMD Ryzen AI MAX+ PRO 395 x 1,1,AMD,4,,3.0,55,256.0,16.0,2025,18,,Mobile,1.040980095470539,-0.1780177178792841,,,,,,,,
AMD Ryzen Threadripper 1900X x 1,1,AMD,14,9600.0,3.8,180,85.3,8.0,2017,10,549.0,Desktop,-1.15460928160387,-0.6384254119251225,,,,,,,,-0.6243442606359162
AMD Ryzen Threadripper 1950X x 1,1,AMD,14,9600.0,3.4,180,85.3,16.0,2017,10,999.0,Desktop,-0.7068272579988022,-0.5445270304354577,,,,,,0.3184537311185349,,-1.0205868514761942
AMD Ryzen Threadripper 2920X x 1,1,AMD,12,9600.0,3.5,180,93.9,12.0,2018,11,649.0,Desktop,-0.5002261741338152,-0.5012034793184467,,,,,,0.09531017980432521,,-0.7541889035294549
AMD Ryzen Threadripper 2950X x 1,1,AMD,12,9600.0,3.5,180,93.9,16.0,2018,11,899.0,Desktop,-0.6358915944924046,-0.5296520608251974,-1.3088098378464963,0.005689399612794688,,,,0.3184537311185349,,
AMD Ryzen Threadripper 2970WX x 1,1,AMD,12,19200.0,3.0,250,93.9,24.0,2018,11,1299.0,Desktop,-0.070799084820524,-0.41115406570040647,-1.2842070114042148,,-1.0212738178237828,,,0.6061358035703157,0.13792314320550147,
AMD Ryzen Threadripper 2990WX x 1,1,AMD,12,19200.0,3.0,250,93.9,32.0,2018,11,1799.0,Desktop,0.9864848562028967,-0.1894451859248453,-0.5913376086238351,-0.02168999288533513,-1.0339322146957066,,,1.01160091167848,,
AMD Ryzen Threadripper 3960X x 1,1,AMD,7,15200.0,3.8,280,102.4,24.0,2019,12,1399.0,Desktop,1.2591072466436095,-0.132277189286365,-0.7687054727992209,0.08116003092544588,-0.7430704893265458,,,1.01160091167848,0.6534546580089051,-0.6271892127681475
AMD Ryzen Threadripper 3970X x 1,1,AMD,7,15200.0,3.7,280,102.4,32.0,2019,12,1999.0,Desktop,2.6087090846465113,0.15072976848226094,-0.3899491626996401,0.3924178050000968,-0.733591745372002,0.45198512374305744,0.9118599611811113,1.2992829841302609,0.9442863393635825,
AMD Ryzen Threadripper 3990X x 1,1,AMD,7,30400.0,2.9,280,102.4,64.0,2020,13,3990.0,Desktop,2.2584461127244864,0.07728080352728228,-0.4248735456697581,0.22311800439799967,-0.8044394357028377,0.25131442828090633,,1.7047480922384253,1.0791706070535243,-0.5727010274840776
AMD Ryzen Threadripper 7970X x 1,1,AMD,5,26280.0,4.0,350,166.4,32.0,2023,16,2499.0,Desktop,3.536055763379506,0.3451912421961846,,0.8736971448629163,,0.8266785731844679,,,,-0.015831465216680662
